Comuna,Paso,Fecha
Arica,3,2020-07-28
Arica,3,2020-07-29
Arica,3,2020-07-30
Arica,3,2020-07-31
Arica,3,2020-08-01
Arica,3,2020-08-02
Arica,3,2020-08-03
Arica,3,2020-08-04
Arica,3,2020-08-05
Arica,3,2020-08-06
Arica,3,2020-08-07
Arica,3,2020-08-08
Arica,3,2020-08-09
Arica,3,2020-08-10
Arica,3,2020-08-11
Arica,3,2020-08-12
Arica,3,2020-08-13
Arica,3,2020-08-14
Arica,3,2020-08-15
Arica,3,2020-08-16
Arica,3,2020-08-17
Arica,3,2020-08-18
Arica,3,2020-08-19
Arica,3,2020-08-20
Arica,3,2020-08-21
Arica,3,2020-08-22
Arica,3,2020-08-23
Arica,3,2020-08-24
Arica,3,2020-08-25
Arica,3,2020-08-26
Arica,3,2020-08-27
Arica,3,2020-08-28
Arica,3,2020-08-29
Arica,3,2020-08-30
Arica,3,2020-08-31
Arica,3,2020-09-01
Arica,3,2020-09-02
Arica,3,2020-09-03
Arica,3,2020-09-04
Arica,3,2020-09-05
Arica,3,2020-09-06
Arica,3,2020-09-07
Arica,3,2020-09-08
Arica,3,2020-09-09
Arica,3,2020-09-10
Arica,3,2020-09-11
Arica,3,2020-09-12
Arica,3,2020-09-13
Arica,3,2020-09-14
Arica,3,2020-09-15
Arica,3,2020-09-16
Arica,3,2020-09-17
Arica,3,2020-09-18
Arica,3,2020-09-19
Arica,3,2020-09-20
Arica,3,2020-09-21
Arica,3,2020-09-22
Arica,3,2020-09-23
Arica,3,2020-09-24
Arica,3,2020-09-25
Arica,3,2020-09-26
Arica,3,2020-09-27
Arica,3,2020-09-28
Arica,3,2020-09-29
Arica,3,2020-09-30
Arica,3,2020-10-01
Arica,3,2020-10-02
Arica,3,2020-10-03
Arica,3,2020-10-04
Arica,3,2020-10-05
Arica,3,2020-10-06
Arica,3,2020-10-07
Arica,3,2020-10-08
Arica,3,2020-10-09
Arica,3,2020-10-10
Arica,3,2020-10-11
Arica,3,2020-10-12
Arica,3,2020-10-13
Arica,3,2020-10-14
Arica,3,2020-10-15
Arica,3,2020-10-16
Arica,3,2020-10-17
Arica,3,2020-10-18
Arica,3,2020-10-19
Arica,3,2020-10-20
Arica,3,2020-10-21
Arica,3,2020-10-22
Arica,3,2020-10-23
Arica,3,2020-10-24
Arica,3,2020-10-25
Arica,3,2020-10-26
Arica,3,2020-10-27
Arica,3,2020-10-28
Arica,3,2020-10-29
Arica,3,2020-10-30
Arica,3,2020-10-31
Arica,3,2020-11-01
Arica,3,2020-11-02
Arica,3,2020-11-03
Arica,3,2020-11-04
Arica,3,2020-11-05
Arica,3,2020-11-06
Arica,3,2020-11-07
Arica,3,2020-11-08
Arica,3,2020-11-09
Arica,3,2020-11-10
Arica,3,2020-11-11
Arica,3,2020-11-12
Arica,3,2020-11-13
Arica,3,2020-11-14
Arica,3,2020-11-15
Arica,3,2020-11-16
Arica,3,2020-11-17
Arica,3,2020-11-18
Arica,3,2020-11-19
Arica,3,2020-11-20
Arica,3,2020-11-21
Arica,3,2020-11-22
Arica,3,2020-11-23
Arica,3,2020-11-24
Arica,3,2020-11-25
Arica,3,2020-11-26
Arica,3,2020-11-27
Arica,3,2020-11-28
Arica,3,2020-11-29
Arica,3,2020-11-30
Arica,3,2020-12-01
Arica,3,2020-12-02
Arica,3,2020-12-03
Arica,3,2020-12-04
Arica,3,2020-12-05
Arica,3,2020-12-06
Arica,3,2020-12-07
Arica,3,2020-12-08
Arica,3,2020-12-09
Arica,3,2020-12-10
Arica,3,2020-12-11
Arica,3,2020-12-12
Arica,3,2020-12-13
Arica,3,2020-12-14
Arica,3,2020-12-15
Arica,3,2020-12-16
Arica,3,2020-12-17
Arica,3,2020-12-18
Arica,3,2020-12-19
Arica,3,2020-12-20
Arica,3,2020-12-21
Arica,3,2020-12-22
Arica,3,2020-12-23
Arica,3,2020-12-24
Arica,3,2020-12-25
Arica,3,2020-12-26
Arica,3,2020-12-27
Arica,3,2020-12-28
Arica,3,2020-12-29
Arica,3,2020-12-30
Arica,3,2020-12-31
Arica,3,2021-01-01
Arica,3,2021-01-02
Arica,3,2021-01-03
Arica,3,2021-01-04
Arica,3,2021-01-05
Arica,3,2021-01-06
Arica,3,2021-01-07
Arica,3,2021-01-08
Arica,3,2021-01-09
Arica,3,2021-01-10
Arica,3,2021-01-11
Arica,3,2021-01-12
Arica,3,2021-01-13
Arica,2,2021-01-14
Arica,2,2021-01-15
Arica,2,2021-01-16
Arica,2,2021-01-17
Arica,2,2021-01-18
Arica,2,2021-01-19
Arica,2,2021-01-20
Arica,2,2021-01-21
Arica,2,2021-01-22
Arica,2,2021-01-23
Arica,2,2021-01-24
Arica,2,2021-01-25
Arica,2,2021-01-26
Arica,2,2021-01-27
Arica,2,2021-01-28
Arica,2,2021-01-29
Arica,2,2021-01-30
Arica,2,2021-01-31
Arica,2,2021-02-01
Arica,2,2021-02-02
Arica,2,2021-02-03
Arica,1,2021-02-04
Arica,1,2021-02-05
Arica,1,2021-02-06
Arica,1,2021-02-07
Arica,1,2021-02-08
Arica,1,2021-02-09
Arica,1,2021-02-10
Arica,1,2021-02-11
Arica,1,2021-02-12
Arica,1,2021-02-13
Arica,1,2021-02-14
Arica,1,2021-02-15
Arica,1,2021-02-16
Arica,1,2021-02-17
Arica,1,2021-02-18
Arica,1,2021-02-19
Arica,1,2021-02-20
Arica,1,2021-02-21
Arica,1,2021-02-22
Arica,1,2021-02-23
Arica,1,2021-02-24
Arica,1,2021-02-25
Arica,1,2021-02-26
Arica,1,2021-02-27
Arica,1,2021-02-28
Arica,1,2021-03-01
Arica,1,2021-03-02
Arica,1,2021-03-03
Arica,1,2021-03-04
Arica,1,2021-03-05
Arica,1,2021-03-06
Arica,1,2021-03-07
Arica,2,2021-03-08
Arica,2,2021-03-09
Arica,2,2021-03-10
Arica,2,2021-03-11
Arica,2,2021-03-12
Arica,2,2021-03-13
Arica,2,2021-03-14
Arica,2,2021-03-15
Arica,2,2021-03-16
Arica,2,2021-03-17
Arica,2,2021-03-18
Arica,2,2021-03-19
Arica,2,2021-03-20
Arica,2,2021-03-21
Arica,2,2021-03-22
Arica,2,2021-03-23
Arica,2,2021-03-24
Arica,2,2021-03-25
Arica,2,2021-03-26
Arica,2,2021-03-27
Arica,2,2021-03-28
Arica,2,2021-03-29
Arica,2,2021-03-30
Arica,2,2021-03-31
Arica,2,2021-04-01
Arica,2,2021-04-02
Arica,2,2021-04-03
Arica,2,2021-04-04
Arica,2,2021-04-05
Arica,2,2021-04-06
Arica,2,2021-04-07
Arica,2,2021-04-08
Arica,2,2021-04-09
Arica,2,2021-04-10
Arica,2,2021-04-11
Arica,2,2021-04-12
Arica,2,2021-04-13
Arica,2,2021-04-14
Arica,2,2021-04-15
Arica,2,2021-04-16
Arica,2,2021-04-17
Arica,2,2021-04-18
Arica,2,2021-04-19
Arica,2,2021-04-20
Arica,2,2021-04-21
Arica,2,2021-04-22
Arica,2,2021-04-23
Arica,2,2021-04-24
Arica,2,2021-04-25
Arica,2,2021-04-26
Arica,2,2021-04-27
Arica,2,2021-04-28
Arica,1,2021-04-29
Arica,1,2021-04-30
Arica,1,2021-05-01
Arica,1,2021-05-02
Arica,1,2021-05-03
Arica,1,2021-05-04
Arica,1,2021-05-05
Arica,1,2021-05-06
Arica,1,2021-05-07
Arica,1,2021-05-08
Arica,1,2021-05-09
Arica,1,2021-05-10
Arica,1,2021-05-11
Arica,1,2021-05-12
Arica,1,2021-05-13
Arica,1,2021-05-14
Arica,1,2021-05-15
Arica,1,2021-05-16
Arica,1,2021-05-17
Arica,1,2021-05-18
Arica,1,2021-05-19
Arica,1,2021-05-20
Arica,1,2021-05-21
Arica,1,2021-05-22
Arica,1,2021-05-23
Arica,1,2021-05-24
Arica,1,2021-05-25
Arica,1,2021-05-26
Arica,1,2021-05-27
Arica,1,2021-05-28
Arica,1,2021-05-29
Arica,1,2021-05-30
Arica,1,2021-05-31
Arica,1,2021-06-01
