Comuna,Tasa,Fecha
Arica,35.54808686659772,2020-04-13
Arica,32.316442605997935,2020-04-15
Arica,29.084798345398138,2020-04-17
Arica,26.25710961737332,2020-04-20
Arica,31.104576008273007,2020-04-24
Arica,41.60741985522234,2020-04-27
Arica,42.41533092037229,2020-05-01
Arica,35.14413133402275,2020-05-04
Arica,24.641287487073424,2020-05-08
Arica,26.661065149948293,2020-05-11
Arica,19.793821096173733,2020-05-15
Arica,27.46897621509824,2020-05-18
Arica,47.262797311271974,2020-05-22
Arica,57.76564115822131,2020-05-25
Arica,65.84475180972079,2020-05-29
Arica,71.50012926577043,2020-06-01
Arica,100.1809720785936,2020-06-05
Arica,112.2996380558428,2020-06-08
Arica,132.49741468459152,2020-06-12
Arica,142.59630299896588,2020-06-15
Arica,144.61608066184075,2020-06-19
Arica,153.90705791106515,2020-06-23
Arica,164.81385729058945,2020-06-28
Arica,164.00594622543952,2020-07-01
Arica,199.9579886246122,2020-07-05
Arica,232.27443123061013,2020-07-10
Arica,264.59087383660807,2020-07-13
Arica,330.43562564632884,2020-07-17
Arica,346.9978024819028,2020-07-20
Arica,396.2803774560496,2020-07-24
Arica,397.4922440537746,2020-07-27
Arica,388.6052223371251,2020-07-31
Arica,347.80571354705273,2020-08-03
Arica,286.40447259565667,2020-08-07
Arica,314.68135987590483,2020-08-10
Arica,313.06553774560496,2020-08-14
Arica,314.27740434332986,2020-08-17
Arica,262.9750517063082,2020-08-21
Arica,259.7434074457084,2020-08-24
Arica,236.31398655635988,2020-08-28
Arica,239.14167528438472,2020-08-31
Arica,213.6924767321613,2020-09-04
Arica,228.2348759048604,2020-09-07
Arica,196.32238883143745,2020-09-11
Arica,189.0511892450879,2020-09-14
Arica,157.5426577042399,2020-09-18
Arica,162.3901240951396,2020-09-21
Arica,146.63585832471563,2020-09-25
Arica,161.17825749741468,2020-09-28
Arica,174.50879007238882,2020-10-02
Arica,208.0370992761117,2020-10-05
Arica,226.61905377456048,2020-10-09
Arica,222.98345398138574,2020-10-12
Arica,204.40149948293694,2020-10-16
Arica,195.91843329886245,2020-10-19
Arica,128.86181489141674,2020-10-24
Arica,127.64994829369182,2020-10-26
Arica,108.66403826266804,2020-10-30
Arica,91.29395036194416,2020-11-02
Arica,98.5651499482937,2020-11-06
Arica,104.62448293691831,2020-11-09
Arica,90.88999482936919,2020-11-13
Arica,75.94364012409514,2020-11-16
Arica,68.26848500517063,2020-11-20
Arica,58.97750775594623,2020-11-23
